input_text,output_text
Spaghetti Bolognese,"Ingredients: Spaghetti, Ground beef, Tomatoes, Onion, Garlic, Olive oil, Salt, Pepper, Parmesan. Instructions: Cook spaghetti. In a pan, sauté onions and garlic in olive oil. Add ground beef and cook. Add tomatoes, salt, and pepper. Simmer for 20 minutes. Serve with pasta and sprinkle Parmesan."
Chicken Curry,"Ingredients: Chicken, Coconut milk, Onion, Garlic, Ginger, Turmeric, Cumin, Chili powder, Salt, Coriander. Instructions: In a pot, sauté onions, garlic, and ginger. Add chicken and spices, cook for 10 minutes. Add coconut milk and simmer for 30 minutes. Serve with rice."
Vegetable Stir-Fry,"Ingredients: Bell peppers, Carrots, Broccoli, Soy sauce, Olive oil, Garlic, Salt, Pepper. Instructions: Heat olive oil in a pan. Add garlic and sauté. Add chopped vegetables and stir-fry for 10 minutes. Add soy sauce and season with salt and pepper."
Beef Tacos,"Ingredients: Ground beef, Tortillas, Lettuce, Tomato, Cheese, Onion, Taco seasoning, Sour cream. Instructions: Cook ground beef with taco seasoning. Warm tortillas. Assemble tacos with beef, lettuce, tomato, cheese, onion, and a dollop of sour cream."
Margarita Pizza,"Ingredients: Pizza dough, Tomato sauce, Mozzarella, Basil, Olive oil, Salt. Instructions: Roll out the pizza dough. Spread tomato sauce, add mozzarella, and sprinkle basil. Drizzle with olive oil and bake at 400°F for 15 minutes."
Grilled Salmon,"Ingredients: Salmon fillet, Lemon, Garlic, Olive oil, Salt, Pepper, Dill. Instructions: Marinate salmon with lemon juice, minced garlic, olive oil, salt, and pepper. Grill for 5 minutes on each side. Garnish with dill and serve."
Pancakes,"Ingredients: Flour, Eggs, Milk, Sugar, Baking powder, Butter, Vanilla extract. Instructions: Mix flour, sugar, and baking powder. Add eggs, milk, and vanilla. Stir well. Cook on a buttered pan until golden brown on both sides."
Caesar Salad,"Ingredients: Romaine lettuce, Chicken breast, Croutons, Parmesan, Caesar dressing. Instructions: Grill chicken and slice it. Toss with lettuce, croutons, and Parmesan. Drizzle Caesar dressing on top."
Garlic Butter Shrimp,"Ingredients: Shrimp, Garlic, Butter, Lemon juice, Parsley, Salt, Pepper. Instructions: Melt butter in a pan, sauté garlic, and add shrimp. Cook for 5 minutes. Add lemon juice and parsley before serving."
Mashed Potatoes,"Ingredients: Potatoes, Butter, Milk, Salt, Pepper, Garlic powder. Instructions: Boil potatoes until soft. Mash with butter, milk, salt, and pepper. Add garlic powder for extra flavor."
French Toast,"Ingredients: Bread, Eggs, Milk, Cinnamon, Sugar, Vanilla extract, Butter. Instructions: Whisk eggs, milk, cinnamon, sugar, and vanilla. Dip bread in the mixture and cook on a buttered pan until golden."
Lentil Soup,"Ingredients: Lentils, Onion, Garlic, Carrots, Celery, Vegetable broth, Cumin, Salt, Pepper. Instructions: Sauté onions, garlic, carrots, and celery. Add lentils, broth, and seasonings. Simmer for 30 minutes until lentils are soft."
Chocolate Chip Cookies,"Ingredients: Flour, Sugar, Butter, Eggs, Chocolate chips, Vanilla extract, Baking soda. Instructions: Mix all ingredients, scoop dough onto a baking sheet, and bake at 350°F for 12 minutes."
Stuffed Bell Peppers,"Ingredients: Bell peppers, Ground beef, Rice, Tomato sauce, Onion, Garlic, Cheese. Instructions: Cook beef with onions and garlic. Mix with cooked rice and tomato sauce. Stuff bell peppers and bake at 375°F for 30 minutes."
Berry Smoothie,"Ingredients: Strawberries, Blueberries, Banana, Yogurt, Honey, Ice. Instructions: Blend all ingredients until smooth. Serve chilled."
